Control	Regional Code	Program Size Quartile	R Rankings	S Rankings	Research Activity	Student Support & Outcomes	Diversity	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment  (1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Workspace	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty 	Number of Allocated Faculty	Assistant Professors as a Percent of Total Faculty	Tenured Faculty as a Percent of Total Faculty	Number of Core and New Faculty	Number of Students Enrolled	Average Annual First Year Enrollment	Percent of Students with RA	Percent of Students with TA
Public	5	4	70	54	59	89	51	1	1.15	69	0.02	87.5	35.9	5.3	41.7	1	7	27.9	770	3.6	-1	1	18	68	49.9	N/D	N/D	49	98	25.4	15.1	61.6
Public	4	2	126	125	124	93	44	0.43	0.33	33.3	0	100	29.7	5.33	32	1	4.8	1.8	729	0	-1	-1	14	55	54.5	13	85	54	37	8.8	100	0
Private	4	1	116	82	78	19	123	1.15	0.85	28.6	0.06	100	41	3	0	1	1	0	750	0	1	1	15	18	18	0	78	18	17	3.4	0	76.5
Private	1	3	53	34	43	66	38	0.82	1.53	72	0.68	100	56.3	6	36.4	1	7.4	20	768	30	1	1	12	40	31.45	18	63	32	51	10	16.3	44.9
Public	2	2	114	90	111	31	23	1.03	0.58	12.6	0	100	57.7	5	62.5	1	3.4	0	777	0	1	-1	15	25	24.78	4	72	25	35	10	0	90.6
Private	1	2	42	57	54	75	72	0.87	1.26	72.7	0.64	100	59.8	4.79	0	1	4.8	8.3	777	0	1	1	17	12	11	0	83	11	30	5.8	0	0
Private	1	2	37	27	44	39	24	0.85	0.97	86.4	1.35	100	63.1	5	38.1	1	5.4	32.3	777	0	1	1	18	31	23.45	3	58	21	30	7.2	3.3	30
Private	5	2	32	20	22	91	54	1.4	1.2	88	0.86	100	37.6	5	33.3	1	6.4	27.8	800	0	1	1	12	18	13.53	0	94	13	31	6.6	0	87.1
Private	1	3	54	48	59	41	95	1.22	1	58	0.01	100	57.2	5.5	47.4	1	7.8	21.3	776	0	1	-1	16	47	32.73	4	77	37	44	9	0	70.7
Public	1	4	95	120	96	126	115	0.73	0.68	42.5	0.42	27.3	30.3	8.1	34.5	1	7.6	5.4	751	3	-1	-1	18	56	50.17	4	95	53	114	21.8	0	0
Private	5	1	116	111	108	127	117	0.47	0.73	53.8	0	0	23.7	4.67	0	-1	1.6	29.2	768	86.4	-1	-1	14	24	20.5	25	50	17	20	5.8	0	0
