Control	Regional Code	Program Size Quartile	R Rankings	S Rankings	Research Activity	Student Support & Outcomes	Diversity	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment  (1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Workspace	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty 	Number of Allocated Faculty	Assistant Professors as a Percent of Total Faculty	Tenured Faculty as a Percent of Total Faculty	Number of Core and New Faculty	Number of Students Enrolled	Average Annual First Year Enrollment	Percent of Students with RA	Percent of Students with TA
0	1	1	0.5403225806	0.4112903226	0.456	0.6637168142	0.3770491803	0.4534161491	0.4398148148	0.7379679144	0.0046189376	0.875	0.3932092004	0.4745762712	0.556	1	0.2564102564	0.4982142857	0.7857142857	0.0416666667	0	1	1	0.6333333333	0.6323101777	0	0	0.609375	0.5284090909	0.7199391172	0.151	0.616
0	0.75	0.3333333333	0.9919354839	0.9838709677	0.976	0.6991150442	0.3196721311	0.099378882	0.0601851852	0.3561497326	0	1	0.3253012048	0.4796610169	0.4266666667	1	0.1623931624	0.0321428571	0.4928571429	0	0	0	0.5	0.4888888889	0.7066235864	0.3714285714	0.85	0.6875	0.1818181818	0.2146118721	1	0
1	0.75	0	0.9112903226	0.6370967742	0.608	0.0442477876	0.9672131148	0.5465838509	0.3009259259	0.3058823529	0.0138568129	1	0.4490690033	0.0847457627	0	1	0	0	0.6428571429	0	1	1	0.625	0.0777777778	0.1169628433	0	0.78	0.125	0.0681818182	0.0502283105	0	0.765
1	0	0.6666666667	0.4032258065	0.25	0.328	0.4601769912	0.2704918033	0.3416149068	0.6157407407	0.7700534759	0.1570438799	1	0.6166484118	0.593220339	0.4853333333	1	0.2735042735	0.3571428571	0.7714285714	0.3472222222	1	1	0.25	0.3222222222	0.3342487884	0.5142857143	0.63	0.34375	0.2613636364	0.2511415525	0.163	0.449
0	0.25	0.3333333333	0.8951612903	0.7016129032	0.872	0.1504424779	0.1475409836	0.4720496894	0.1759259259	0.1347593583	0	1	0.6319824754	0.4237288136	0.8333333333	1	0.1025641026	0	0.8357142857	0	1	0	0.625	0.1555555556	0.2264943457	0.1142857143	0.72	0.234375	0.1704545455	0.2511415525	0	0.906
1	0	0.3333333333	0.314516129	0.435483871	0.416	0.5398230088	0.5491803279	0.3726708075	0.4907407407	0.777540107	0.1478060046	1	0.6549835706	0.3881355932	0	1	0.1623931624	0.1482142857	0.8357142857	0	1	1	0.875	0.0111111111	0.0038772213	0	0.83	0.015625	0.1420454545	0.1232876712	0	0
1	0	0.3333333333	0.2741935484	0.1935483871	0.336	0.2212389381	0.1557377049	0.3602484472	0.3564814815	0.9240641711	0.311778291	1	0.691128149	0.4237288136	0.508	1	0.188034188	0.5767857143	0.8357142857	0	1	1	1	0.2222222222	0.2050080775	0.0857142857	0.58	0.171875	0.1420454545	0.1659056317	0.033	0.3
1	1	0.3333333333	0.2338709677	0.1370967742	0.16	0.6814159292	0.4016393443	0.701863354	0.462962963	0.9411764706	0.1986143187	1	0.4118291347	0.4237288136	0.444	1	0.2307692308	0.4964285714	1	0	1	1	0.25	0.0777777778	0.0447495961	0	0.94	0.046875	0.1477272727	0.1476407915	0	0.871
1	0	0.6666666667	0.4112903226	0.3629032258	0.456	0.2389380531	0.737704918	0.5900621118	0.3703703704	0.6203208556	0.0023094688	1	0.6265060241	0.5084745763	0.632	1	0.2905982906	0.3803571429	0.8285714286	0	1	0	0.75	0.4	0.3549273021	0.1142857143	0.77	0.421875	0.2215909091	0.2207001522	0	0.707
0	0	1	0.7419354839	0.9435483871	0.752	0.9911504425	0.9016393443	0.2857142857	0.2222222222	0.4545454545	0.0969976905	0.273	0.3318729463	0.9491525424	0.46	1	0.2820512821	0.0964285714	0.65	0.0347222222	0	0	1	0.5	0.6366720517	0.1142857143	0.95	0.671875	0.6193181818	0.6103500761	0	0
