Record_ID#	SALARY	ROOKIE	POS	G	PA	AB	H	1B	2B	3B	HR	TB	BB	UBB	IBB	HBP	SF	SH	ROE	RBI	LEADOFF_PA	DP	TP	WP	PB	END_GAME	SO	BK	INTERFERENCE	FC	TOB	OUT	SIT_DP	GIDP	PITCHES	BALLS	STRIKES	FB	GB	LD	POP	Batted Balls	PA_P	PA_C	PA_1B	PA_2B	PA_3B	PA_SS	PA_LF	PA_CF	PA_RF	PA_DH	PA_PH	PA_PR	G_P	G_C	G_1B	G_2B	G_3B	G_SS	G_LF	G_CF	G_RF	G_DH	G_PH	G_PR	AVG	OBP	SLG	D_ISO	TBP	BBr	UBBr	IBBR	SO/BB	ABR	HITR	B1R	B2R	B3R	HRr	HBPR	SFR	SHR	ROEr	SOr	OUTR	NSOR	RBIR	LEADOFFR	END_GAMER	DP%	FB%	GB%	LD%	POP%	SB	CS	PICKOFF	R	SB%	RUNR	D_BPF	PA%	D_MLVr	D_PMLVr	D_RPMLVr	D_VORPr	D_MLV	D_PMLV	D_RPMLV	D_VORP	D_NETDP	D_EqA	D_EqR	D_RAR	D_RAP	D_RARP	D_OUTS_EQ	PA_ROB	R1	R2	R3	R1_BI	R2_BI	R3_BI	ROB	OBI	R1BI%	R2BI%	R3BI%	OBI%
0	0.1213768116	0	0	0.472972973	0.3365921788	0.3142414861	0.2548076923	0.2045454545	0.2222222222	0	0.125	0.2395209581	0.305785124	0.3333333333	0.0294117647	0.037037037	0.0909090909	0.2	0.2666666667	0.2	0.1832797428	0.2121212121	0	0.0714285714	0.4	0.4666666667	0.1743589744	0	0	0	0.3041958042	0.3458980044	0.2670454545	0.1875	0.3456364264	0.3295819936	0.3486880466	0.265625	0.2372881356	0.2248062016	0.3414634146	0.2998324958	0	0.4490131579	0	0	0	0	0	0	0	0.0134907251	0.0760869565	0	0	0.5302013423	0	0	0	0	0	0	0	0.0214285714	0.0752688172	0	0.5480427046	0.5911949686	0.4346153846	0.3897763578	0.4495098276	0.5511391178	0.6209366391	0.0654223228	0.0428954424	0.4878909741	0.5277708385	0.3631236244	0.5036866916	0	0.2845417237	0.0690135243	0.1058249466	0.2605	0.3756756757	0.255455339	0.4012135611	0.5414474314	0.4543458945	0.2873827478	0.4821499405	0.4521072797	0.4702702703	0.3873873874	0.4	0.6100917431	0.0294117647	0.0625	0	0.232	0.667	0.4856743199	0.5871319779	0.350877193	0.5035460993	0.5626496409	0.532923525	0.5322338831	0.2277465918	0.3003597122	0.2325064512	0.2304	0.4465386009	0.7593360996	0.2216216216	0.2216788916	0.2881679389	0.2490808824	0.334038055	0.3036649215	0.2795698925	0.3988439306	0.3214285714	0.0769230769	0.2142857143	0.2708333333	0.3376865672	0.219047619	0.1538461538	0.2547770701	0.333	0.356846473
0.0010570825	0.1005434783	0	0	0.2635135135	0.1131284916	0.1207430341	0.1442307692	0.1420454545	0.0555555556	0	0.0625	0.1167664671	0.041322314	0.037037037	0.0294117647	0	0	0.1333333333	0	0.075862069	0.0675241158	0.1212121212	0	0	0	0.2666666667	0.0923076923	0	0	0	0.1083916084	0.1241685144	0.1647727273	0.125	0.1017592273	0.0779742765	0.1189504373	0.1510416667	0.093220339	0.0930232558	0.0975609756	0.1155778894	0	0.1792763158	0.0014326648	0	0	0	0	0	0	0	0.1956521739	0	0	0.3020134228	0.0062111801	0	0	0	0	0	0	0	0.1935483871	0	0.743772242	0.5440251572	0.4980769231	0.3194888179	0.5983242382	0.1391177896	0.1283746556	0.1472473605	0.2815013405	0.8757819482	0.8277541844	0.7651320616	0.2833313187	0	0.3201094391	0	0	0.3905	0	0.3718359034	0.4987479132	0.5186070984	0.3998850154	0.2634418491	0.6197937326	0.4636015326	0.6486486486	0.3423423423	0.4341463415	0.3623853211	0	0	0	0.12	0	0.5652614316	0.6912229275	0.1140350877	0.5382978723	0.6097366321	0.5684102287	0.5674662669	0.2638331997	0.3246402878	0.2252258515	0.2232	0.4447263501	0.7406639004	0.0966216216	0.1801140994	0.2633587786	0.1810661765	0.11205074	0.1439790576	0.146953405	0.1791907514	0.1339285714	0.0384615385	0.0476190476	0.125	0.1585820896	0.0761904762	0.1328671329	0.1146496815	0.333	0.2157676349
0.0063424947	0.2572463768	0	0.5555555556	0	0.0097765363	0.0108359133	0.0576923077	0.0625	0.037037037	0	0	0.0329341317	0.0082644628	0.0092592593	0	0.0740740741	0.0909090909	0	0.1333333333	0.0551724138	0.0192926045	0.0303030303	0	0	0	0	0	0	0	0	0.0384615385	0	0.0454545455	0.03125	0	0.0048231511	0	0.0364583333	0.0282485876	0.0465116279	0.0487804878	0.0234505863	0	0	0	0	0	0	0.0732436472	0	0	0.0067453626	0.0108695652	0	0	0	0	0	0	0	0.0838709677	0	0	0.0071428571	0.0107526882	0	0.9395017794	0.7452830189	0.4903846154	0.1309904153	0.5612836239	0.0911294232	0.1168044077	0	0.1322609473	0.741331546	1	1	0.4477215037	0	0	0.7366746221	0.5648063434	0	1	0.0872854233	0.1596571208	0.4999282503	0.7810066377	0.2980197413	0	0.3180076628	0.4108108108	0.3626126126	0.7804878049	0.3990825688	0.0147058824	0.0625	0.1111111111	0.032	0.5	0.3572737797	0.4936075818	0.0087719298	0.6531914894	0.6464485235	0.6404569439	0.6214392804	0.2838813152	0.3246402878	0.2204806912	0.216	0.4186299384	0.8195020747	0.0574324324	0.1874490628	0.2814885496	0.1773897059	0	0.0157068063	0.017921147	0.0231213873	0.0357142857	0	0.0952380952	0.1041666667	0.0205223881	0.0761904762	0	0.8492569002	0.714	1
0.0084566596	0.0942028986	0	0.6666666667	0.7297297297	0.4818435754	0.5015479876	0.3365384615	0.2386363636	0.3148148148	0.1052631579	0.2083333333	0.3532934132	0.1239669421	0.1388888889	0	0.037037037	0.3636363636	0.3333333333	0.4666666667	0.2275862069	0.3665594855	0.1515151515	0	0.1428571429	0.2	0.5333333333	0.2717948718	0	0	0.6	0.2867132867	0.5742793792	0.3977272727	0.09375	0.3956536737	0.2909967846	0.4612244898	0.421875	0.4237288136	0.2945736434	0.3658536585	0.4790619765	0	0	0	0	0	0	0	0.5167597765	0	0	0.2391304348	0	0	0	0	0	0	0	0	0.7798742138	0	0	0.2365591398	0.2272727273	0.4341637011	0.2704402516	0.4057692308	0.4440894569	0.4878302023	0.1095492002	0.1377410468	0	0.2716711349	0.858668454	0.4858855858	0.2643525312	0.5242354648	0.2048192771	0.3488372093	0.0507159905	0.3110704483	0.319	0.4837837838	0.2947337795	0.6917298061	0.7256768392	0.3631944807	0.5552081417	0.4047996827	0.1570881226	0.4864864865	0.5157657658	0.2731707317	0.4311926606	0.2058823529	0.5625	0.3333333333	0.368	0.609	0.5660331854	0.656463225	0.4912280702	0.3418439716	0.3367916999	0.3422650545	0.332083958	0.0433039294	0.0584532374	0.0563992711	0.0448	0.2475534614	0.653526971	0.2054054054	0.0814995925	0.0238549618	0.0441176471	0.5813953488	0.3534031414	0.3691756272	0.3526011561	0.3035714286	0.1153846154	0.1428571429	0.3125	0.3656716418	0.219047619	0.1818181818	0.1910828025	0.405	0.3236514523
0.0095137421	0.0108695652	0	0	0.5743243243	0.4608938547	0.4752321981	0.3942307692	0.2784090909	0.4259259259	0	0.2291666667	0.4041916168	0.132231405	0.1481481481	0	0.2592592593	0.3636363636	0	0.1333333333	0.3310344828	0.2057877814	0.303030303	0	0.2142857143	0.4	0.1333333333	0.2923076923	0.25	0	0	0.3531468531	0.5166297118	0.4431818182	0.28125	0.4505001725	0.3319935691	0.5241982507	0.5052083333	0.2796610169	0.3255813953	0.4268292683	0.4355108878	0	0.5855263158	0.0200573066	0	0	0	0	0	0	0.0084317032	0.0217391304	0	0	0.6577181208	0.0248447205	0	0	0	0	0	0	0.0142857143	0.0215053763	0	0.590747331	0.4465408805	0.5326923077	0.5111821086	0.627589704	0.1303926321	0.1614325069	0	0.2743521001	0.8231903485	0.6500957615	0.3708730741	0.7374592046	0	0.3994528044	0.3693317422	0.3235742604	0	0.1432432432	0.3424498109	0.5648195711	0.591911413	0.5891914493	0.1860094415	0.1053153511	0.4214559387	0.7	0.222972973	0.4	0.5504587156	0	0	0	0.352	0	0.5629461702	0.6007981858	0.4736842105	0.5	0.5538707103	0.5275569866	0.5269865067	0.2109061748	0.285971223	0.2373080843	0.2352	0.4334903951	0.7406639004	0.2810810811	0.2167889161	0.2633587786	0.2564338235	0.4904862579	0.4502617801	0.4874551971	0.4046242775	0.4375	0.3846153846	0.2619047619	0.3541666667	0.4720149254	0.3523809524	0.4755244755	0.3078556263	0.327	0.4398340249
0.011627907	0.1485507246	0	0.1111111111	0.8040540541	0.5488826816	0.5650154799	0.5288461538	0.4488636364	0.3888888889	0.0526315789	0.2083333333	0.4790419162	0.2396694215	0.2314814815	0.1176470588	0.037037037	0.1818181818	0	0.2666666667	0.3517241379	0.2733118971	0.3636363636	0	0.0714285714	0	0.4666666667	0.2666666667	0	0	0.4	0.4755244755	0.5698447894	0.4204545455	0.34375	0.4863746119	0.4075562701	0.5300291545	0.5416666667	0.3728813559	0.496124031	0.4146341463	0.5376884422	0	0	0.3051575931	0.0013812155	0.2663934426	0	0	0	0	0.0134907251	0.25	0	0	0	0.5093167702	0.0062893082	0.3962264151	0	0	0	0	0.0142857143	0.247311828	0	0.7117437722	0.5660377358	0.5384615385	0.4153354633	0.6336504564	0.2423654872	0.2385674931	0.1713800905	0.1206434316	0.8199285076	0.7774585727	0.5912509171	0.5769370241	0.0911646586	0.3105335157	0.0451471758	0.1387618176	0	0.2459459459	0.242071574	0.418036471	0.5651487611	0.5275701667	0.2508123352	0.3155493852	0.5402298851	0.5918918919	0.2882882883	0.5658536585	0.4403669725	0.0147058824	0.0625	0.1111111111	0.264	0.5	0.3617595987	0.6069677854	0.5701754386	0.5659574468	0.5426975259	0.5521905234	0.5494752624	0.2782678428	0.2679856115	0.271178923	0.2664	0.5215657847	0.7697095436	0.3527027027	0.2738386308	0.2146946565	0.2215073529	0.5517970402	0.4712041885	0.4802867384	0.4971098266	0.4196428571	0.3461538462	0.3333333333	0.3958333333	0.4944029851	0.3904761905	0.4335664336	0.3227176221	0.38	0.4730290456
0.0126849894	0.0942028986	0	0	0.3581081081	0.2988826816	0.3003095975	0.2548076923	0.1761363636	0.3148148148	0	0.125	0.254491018	0.0909090909	0.1018518519	0	0.1851851852	0.2727272727	0.3333333333	0.3333333333	0.2068965517	0.1607717042	0.3333333333	0	0.2142857143	0	0.2666666667	0.2051282051	0.25	0	0	0.2272727273	0.332594235	0.2784090909	0.3125	0.2666436702	0.2258842444	0.2903790087	0.2916666667	0.2627118644	0.1860465116	0.0975609756	0.2814070352	0	0.4226973684	0	0	0	0	0	0	0	0	0.0434782609	0	0	0.4496644295	0	0	0	0	0	0	0	0	0.0430107527	0	0.5800711744	0.4433962264	0.5019230769	0.4728434505	0.5720770754	0.1347552109	0.1663911846	0	0.2815013405	0.7270330652	0.6144974602	0.3411592076	0.7872597607	0	0.3146374829	0.3810660302	0.3504117109	0.479	0.5189189189	0.3622345068	0.5430525234	0.5594805319	0.5306538441	0.2745386549	0.3040460135	0.724137931	0.5756756757	0.5427927928	0.3219512195	0.1834862385	0	0.25	0	0.152	0	0.3511479838	0.8638330742	0.298245614	0.4695035461	0.5259377494	0.4981648691	0.4677661169	0.2093023256	0.2769784173	0.2066238028	0.1856	0.5835447626	0.7095435685	0.1743243243	0.1670741646	0.2280534351	0.1902573529	0.3298097252	0.2748691099	0.2616487455	0.3063583815	0.2142857143	0.2307692308	0.2142857143	0.2083333333	0.276119403	0.2285714286	0.4965034965	0.3248407643	0.37	0.4771784232
0.0137420719	0.2119565217	0	0.2222222222	0.472972973	0.4357541899	0.3962848297	0.3269230769	0.3295454545	0.1296296296	0.0526315789	0.0625	0.248502994	0.4049586777	0.4351851852	0.0588235294	0.0740740741	0.1818181818	0.4666666667	0.2666666667	0.1862068966	0.1832797428	0.4848484848	0	0.2857142857	0.2	0.5333333333	0.158974359	0	0	0.2	0.4020979021	0.4390243902	0.3125	0.40625	0.4798206278	0.481511254	0.4653061224	0.1354166667	0.5	0.2558139535	0.2073170732	0.4020100503	0	0	0	0.4875690608	0	0	0	0	0	0	0.0652173913	0	0	0	0	0.5094339623	0	0	0	0	0	0	0.064516129	0	0.5765124555	0.6383647799	0.3307692308	0.1916932907	0.3237552518	0.5870092099	0.6495867769	0.105015083	0.0160857909	0.3957998213	0.5358897494	0.518158474	0.2357065152	0.1120481928	0.1149110807	0.110779634	0.1698688625	0.4875	0.3	0.1553680535	0.3645177861	0.5965273127	0.3175142424	0.1547728527	0.4418881396	0.8429118774	0.0621621622	0.9324324324	0.2975609756	0.2889908257	0.25	0.125	0.2222222222	0.368	0.895	0.6180300984	0.4228007804	0.4298245614	0.4836879433	0.4924181963	0.492430554	0.5277361319	0.1996792302	0.2311151079	0.2037990398	0.2328	0.6687205509	0.7697095436	0.2837837838	0.2518337408	0.2709923664	0.2518382353	0.4270613108	0.3664921466	0.3154121864	0.450867052	0.3571428571	0.0384615385	0.119047619	0.3958333333	0.3805970149	0.2285714286	0.0699300699	0.127388535	0.442	0.3278008299
0.0158562368	0.0235507246	0	1	0.4864864865	0.1452513966	0.1486068111	0.1153846154	0.1022727273	0.1111111111	0	0.0208333333	0.0898203593	0.0661157025	0.0740740741	0	0	0.1818181818	0.1333333333	0.2	0.0620689655	0.1093247588	0.0606060606	0	0.0714285714	0	0.0666666667	0.1179487179	0.25	0	0.4	0.0979020979	0.1707317073	0.1420454545	0.0625	0.1569506726	0.1205787781	0.1813411079	0.1302083333	0.1355932203	0.1085271318	0.1219512195	0.1407035176	0	0	0.0171919771	0.0013812155	0	0	0.1165919283	0	0	0.0016863406	0.6413043478	0	0	0	0.0372670807	0.0062893082	0	0	0.1612903226	0	0	0.0071428571	0.6344086022	0	0.4519572954	0.3238993711	0.2730769231	0.2076677316	0.3193606027	0.2006786234	0.241322314	0	0.2216264522	0.7703753351	0.4888833375	0.394350697	0.4803577904	0	0.0902872777	0	0.4040866118	0.33125	0.5378378378	0.3919115508	0.612848337	0.5870324309	0.256049757	0.4288516952	0.1312971043	0.2643678161	0.4405405405	0.509009009	0.4146341463	0.3944954128	0.0294117647	0.0625	0	0.128	0.667	0.511093961	0.4875469157	0.149122807	0.3056737589	0.3064644852	0.2834057628	0.2826086957	0.1716118685	0.2077338129	0.125142582	0.1232	0.3881841247	0.622406639	0.0682432432	0.1173594132	0.1421755725	0.0762867647	0.1691331924	0.1204188482	0.1146953405	0.1445086705	0.1428571429	0	0.0476190476	0.1458333333	0.1324626866	0.0761904762	0	0.1380042463	0.368	0.2697095436
0.0169133192	0.152173913	0	0.2222222222	0.8310810811	0.812849162	0.8328173375	0.8317307692	0.7329545455	0.6296296296	0.1578947368	0.1666666667	0.7005988024	0.2809917355	0.2962962963	0.0588235294	0.2222222222	0.3636363636	0.2666666667	0.1333333333	0.3931034483	0.2958199357	0.4545454545	0	0.5	0.4	1	0.2	0	0	0.6	0.7307692308	0.8292682927	0.7329545455	0.4375	0.7061055536	0.6189710611	0.7481049563	0.6614583333	0.7175141243	0.8372093023	0.4512195122	0.8592964824	0	0	0	0.8660220994	0	0	0	0	0	0	0.0217391304	0	0	0	0	0.8867924528	0	0	0	0	0	0	0.0215053763	0	0.7971530249	0.6226415094	0.5461538462	0.3514376997	0.6407012122	0.1812893844	0.2022038567	0.0599547511	0.0634495085	0.8069705094	0.8675160296	0.6958455613	0.65333011	0.1915662651	0.1737346101	0.1897374702	0.1939615737	0.159	0.0864864865	0.0707011929	0.3837806601	0.6805462547	0.3918360947	0.0944148121	0.4730265768	0.4022988506	0.4135135135	0.472972973	0.6243902439	0.3119266055	0.1029411765	0.0625	0.1111111111	0.72	0.875	0.6901408451	0.7528198932	0.8070175439	0.6	0.6209098164	0.6153055174	0.6221889055	0.3352044908	0.3776978417	0.3959859474	0.4056	0.4142805364	0.7925311203	0.5425675676	0.3822330888	0.3530534351	0.4034926471	0.7970401691	0.6884816754	0.6379928315	0.6531791908	0.5625	0.3076923077	0.3333333333	0.5833333333	0.6567164179	0.4666666667	0.2937062937	0.2505307856	0.424	0.4232365145
