 Alabama	 Alaska	 Arizona	 Arkansas	 California	 Colorado	 Connecticut	 Delaware	 District of Columbia	 Florida	 Georgia	 Hawaii	 Idaho	 Illinois	 Indiana	 Iowa	 Kansas	 Kentucky	 Louisiana	 Maine	 Maryland	 Massachusetts	 Michigan	 Minnesota	 Mississippi	 Missouri	 Montana	 Nebraska	 Nevada	 New Hampshire	 New Jersey	 New Mexico	 New York	 North Carolina	 North Dakota	 Ohio	 Oklahoma	 Oregon	 Pennsylvania	 Rhode Island	 South Carolina	 South Dakota	 Tennessee	 Texas	 Utah	 Vermont	 Virginia	 Washington	 West Virginia	 Wisconsin	 Wyoming	 Puerto Rico	 Virgin Islands
0.919170243	0.202020202	0.440366972	0.672286617	0.953697579	0.665714286	1	0.747863248	1	0.997622444	0.833256564	0.975308642	0	0.955661124	0.693701112	0.352553542	0.343195266	0.595041322	0.672694394	0.946921444	0.951855567	1	0.779675491	0.440957886	0.78975265	0.943661972	0.38028169	0.197580645	0	0.888059701	0.994747209	0.554347826	0.97078853	0.98597786	0	0.917755408	0.520069808	0.528326746	0.992883436	1	0.999319728	0	0.856723921	0.434969545	0	0.777777778	0.987707437	0.699107143	0.935828877	0.510193133	0.16	0.951357466	0.52
0.899141631	0.272727273	0.441896024	0.680716544	0.967985183	0.66	0.98997996	0.927350427	1	0.999048978	0.839244588	1	0.0657277	0.961731328	0.706463565	0.34431631	0.388560158	0.612488522	0.694394213	0.93418259	0.979939819	0.989837398	0.842442357	0.439306358	0.804770318	0.957746479	0.338028169	0.201612903	0.007092199	0.883084577	1	0.543478261	0.980286738	0.99704797	0.008130081	0.954594132	0.558464223	0.520421607	0.982822086	0.998272884	0.995238095	0.02238806	0.859656473	0.442852024	0.006578947	0.761111111	0.984019668	0.694642857	0.941176471	0.513948498	0.04	0.989819005	0.6
0.892703863	0.318181818	0.443425076	0.680716544	0.973938352	0.664285714	0.991983968	0.931623932	1	1	0.852602487	1	0.084507042	0.969648984	0.723754632	0.303130148	0.41617357	0.630853994	0.714285714	0.936305732	0.985957874	0.985772358	0.862510675	0.449215524	0.815371025	0.949423816	0.38028169	0.201612903	0.028368794	0.873134328	0.998358503	0.565217391	0.990681004	0.993111931	0.040650407	0.965945599	0.596858639	0.544137022	0.987239264	0.994818653	0.991836735	0.044776119	0.868873062	0.453242565	0.026315789	0.755555556	0.986478181	0.716071429	0.959893048	0.525751073	0.12	0.996606335	0.64
0.947067239	0.419191919	0.423547401	0.693361433	0.976584204	0.675714286	0.990647963	0.914529915	0.984615385	0.970993818	0.859511746	0.950617284	0.079812207	0.966481921	0.728694936	0.336079077	0.42800789	0.621671258	0.73960217	0.949044586	0.972918756	0.976829268	0.865713066	0.438480595	0.828621908	0.972471191	0.422535211	0.217741935	0.031914894	0.873134328	0.977347341	0.586956522	0.97688172	0.989913899	0.024390244	0.969372457	0.607329843	0.550724638	0.982822086	0.972366149	0.991156463	0.044776119	0.875576037	0.46470799	0.069078947	0.744444444	0.984019668	0.724107143	0.967914439	0.525751073	0.12	0.990950226	0.64
0.952074392	0.46969697	0.431192661	0.7028451	0.978436301	0.675714286	0.978623914	0.935897436	0.969230769	0.979077508	0.861354215	0.925925926	0.107981221	0.979678015	0.747221079	0.365733114	0.433925049	0.641873278	0.773960217	0.961783439	0.981945838	0.978455285	0.86912895	0.454995871	0.84540636	0.980153649	0.450704225	0.225806452	0.042553191	0.873134328	0.976690742	0.625	0.985483871	0.983517835	0.048780488	0.980295567	0.628272251	0.571805007	0.985766871	0.970639033	0.991156463	0.089552239	0.886887306	0.467932641	0.078947368	0.738888889	0.985248924	0.740178571	0.975935829	0.544527897	0.16	0.977375566	0.64
0.975679542	0.595959596	0.444954128	0.73024236	0.985580103	0.7	0.978623914	0.957264957	0.969230769	0.976699952	0.879318287	0.962962963	0.145539906	1	0.762453685	0.406919275	0.467455621	0.664830119	0.82278481	1	1	0.987398374	0.887702818	0.50867052	0.867491166	1	0.507042254	0.290322581	0.046099291	0.885572139	0.982600131	0.641304348	1	0.990159902	0.081300813	1	0.652705061	0.629776021	1	0.984455959	1	0.141791045	0.892752409	0.503762092	0.144736842	0.766666667	1	0.764285714	1	0.597639485	0.32	0.959276018	0.64
0.928469242	0.873737374	0.44648318	0.721812434	0.990739516	0.704285714	0.947895792	0.854700855	0.969230769	0.941036614	0.836941502	0.975308642	0.103286385	0.969648984	0.756689996	0.400329489	0.451676529	0.654729109	0.806509946	0.921443737	0.987963892	0.947560976	0.850128096	0.520231214	0.841872792	0.95134443	0.563380282	0.302419355	0.042553191	0.798507463	0.949441891	0.635869565	0.959498208	0.968511685	0.073170732	0.977082887	0.640488656	0.675889328	0.979141104	0.89119171	0.97414966	0.201492537	0.852534562	0.518452168	0.131578947	0.761111111	0.987092809	0.779464286	0.978609626	0.60193133	0.36	0.950226244	0.64
0.950643777	0.757575758	0.451070336	0.72918862	1	0.705714286	0.934535738	1	0.953846154	0.942938659	0.839244588	0.962962963	0.14084507	0.980997625	0.764100453	0.398682043	0.40433925	0.660238751	0.840867993	1	0.981945838	0.959349593	0.868274979	0.552436003	0.863957597	0.971190781	0.563380282	0.326612903	0.053191489	0.84079602	0.965200263	0.706521739	0.966308244	0.978843788	0.073170732	0.991218676	0.609075044	0.740447958	0.990184049	0.974093264	0.970748299	0.194029851	0.863426896	0.531709065	0.167763158	0.777777778	0.992009834	0.796428571	0.975935829	0.626072961	0.32	0.945701357	0.68
0.95851216	0.46969697	0.435779817	0.732349842	0.984521762	0.695714286	0.945891784	0.991452991	0.969230769	0.93105088	0.831874712	0.950617284	0.20657277	0.968593296	0.764923837	0.4184514	0.441814596	0.65748393	0.862567812	0.957537155	0.979939819	0.950813008	0.877455167	0.529314616	0.871908127	0.973111396	0.521126761	0.314516129	0.056737589	0.830845771	0.959947472	0.733695652	0.972401434	0.975399754	0.113821138	0.995502249	0.647469459	0.669301713	0.983312883	0.979274611	0.96462585	0.156716418	0.868454127	0.522035113	0.184210526	0.727777778	0.992009834	0.801785714	0.967914439	0.603540773	0.44	0.949095023	0.68
0.944206009	0.287878788	0.440366972	0.715489989	0.956608017	0.694285714	0.927855711	0.961538462	0.938461538	0.904422254	0.803777061	0.938271605	0.17370892	0.941937187	0.738575545	0.390444811	0.424063116	0.648301194	0.860759494	0.925690021	0.947843531	0.924390244	0.864432109	0.496284063	0.871024735	0.944302177	0.577464789	0.330645161	0.063829787	0.800995025	0.941562705	0.701086957	0.954659498	0.950061501	0.170731707	0.977939602	0.635253054	0.590250329	0.965153374	0.986183074	0.947619048	0.164179104	0.852115626	0.528842709	0.171052632	0.733333333	0.97664413	0.748214286	0.957219251	0.582081545	0.56	0.972850679	0.68
