Outlying	Skewed	Clumpy	Sparse	Striated	Convex	Skinny	Stringy	Monotonic
0.1526371772	0.6795831267	0.0494236363	0.0411693719	0.0445544554	0.5812716698	0.5854387656	0.3517199267	0.8581422033
0.1529105997	0.746662691	0.0379847588	0.0427137565	0.0652173913	0.4217590521	0.6104896901	0.3128146933	0.8722650049
0.1474707919	0.7003773947	0.036066367	0.0442042171	0.0392156863	0.504542362	0.6286360556	0.3382798832	0.8578745745
0.247123808	0.6555168824	0.047989097	0.0334329939	0.0242424242	0.4108974399	0.5978567066	0.3678857909	0.949357274
0.0451316752	0.6938223952	0.0763851961	0.0362800079	0.0567010309	0.4812907284	0.644413042	0.3614443585	0.8894139456
0.1388437868	0.6847375219	0.0642998922	0.037373669	0.0192307692	0.4109719902	0.6598955881	0.2617014385	0.9370857338
0.0993738071	0.621085681	0.0311450608	0.0391957161	0.0505050505	0.4849059866	0.5987139419	0.3273522792	0.7544205175
0.0551398855	0.7135680396	0.0791420548	0.047078978	0.0493273543	0.4999900324	0.6322668885	0.3644314869	0.7595612943
0.0778945915	0.6359775022	0.0194393458	0.0418098673	0.0291262136	0.4702679152	0.6294587095	0.2562113794	0.8488937982
0.0434846401	0.6798724436	0.0256397172	0.0415608486	0.0462962963	0.4931365446	0.6284622937	0.3698237279	0.7632850666
0.1863867152	0.6043827787	0.0256499759	0.0328188023	0.0395480226	0.4643872985	0.6613753924	0.3098650578	0.8829301985
0.0892082796	0.6455381596	0.10090002	0.038067158	0.0485436893	0.3986632846	0.6927422476	0.2733678173	0.8318489958
0.0945715057	0.6822618894	0.0244061562	0.0382846864	0.0451977401	0.4279862211	0.6764391755	0.3943703704	0.8446135583
0.1781974695	0.6693000623	0.0401453408	0.0360503853	0.0258064516	0.4059981054	0.6557827117	0.3774456891	0.9314673645
0.0411472334	0.6101640059	0.0664864966	0.0364626648	0.0426540284	0.3925084412	0.7062466449	0.2762961415	0.7062424693
0.0846370391	0.6657912564	0.0445770495	0.0400653247	0.014354067	0.40043269	0.6159940573	0.3864568221	0.5773247266
0.0684876554	0.6464518576	0.0240821046	0.0451061523	0.03930131	0.4963446534	0.6995066923	0.3532381401	0.6134693143
0.196392987	0.719328327	0.0347849919	0.0404469569	0.0358974359	0.3888610761	0.6646170089	0.3629757037	0.7448790193
0.0754534587	0.6897200752	0.0539099726	0.0407231882	0.0612244898	0.3918403004	0.6773106951	0.3310591182	0.6163645811
0.129145769	0.6817289003	0.0398192855	0.0414508065	0.0622009569	0.4276706014	0.6286261264	0.3864568221	0.8189947025
0.062104297	0.7054634584	0.0362125692	0.0400653247	0.0377358491	0.3366381004	0.6787622268	0.2906705689	0.4786388157
0.218742405	0.6581447489	0.0388312063	0.0358308808	0.0295857988	0.4120690426	0.6071690096	0.317968222	0.9167281007
0.0797313601	0.7021155027	0.1031395562	0.0432930835	0.0550458716	0.5003738103	0.6230990918	0.4096593124	0.8316249804
0.1085240072	0.6786721896	0.0222668653	0.0403544596	0.0505050505	0.4560971655	0.6516914256	0.3440009721	0.8760102105
0.14829633	0.7085355049	0.053522726	0.0364626648	0.0397727273	0.3890232888	0.6401888461	0.421875	0.9505872312
0.0102050997	0.7248463307	0.0378223475	0.0432930835	0.0321100917	0.5142287755	0.6074559008	0.3447958079	0.7519481494
0.1273769877	0.649744716	0.0798993287	0.0315808811	0.0479041916	0.4669696406	0.6513505886	0.3801476579	0.9736997126
0.0832349358	0.7034616685	0.0494443812	0.0437510222	0.0473933649	0.4146181093	0.6557372082	0.343937158	0.5330755353
0.3336947773	0.7901729281	0.089193572	0.0530190664	0.0384615385	0.3917403848	0.6193800244	0.3262372568	0.108658415
0.0579696881	0.7671816135	0.0249745187	0.058007942	0.0610328638	0.4774370762	0.5786671661	0.3604218856	0.092583091
0.1417358516	0.7910601275	0.0529224804	0.0563596723	0.0777202073	0.4684001883	0.5532170375	0.405224	0.2349540971
0.13545946	0.7629622037	0.1059021191	0.0558341454	0.0555555556	0.4279513287	0.5751576216	0.3692056382	0.1940729162
0.2056930004	0.7812904959	0.1229559775	0.0538350912	0.0657276995	0.3523819292	0.6798964222	0.3457464283	0.2516132927
0.0922869103	0.7910102607	0.0657060599	0.0501536305	0.067357513	0.3498631145	0.6575312447	0.405224	0.1275448501
0.2370336894	0.728065029	0.022741514	0.0490740316	0.0235849057	0.4078086221	0.5908549878	0.3522697754	0.4896474614
0.1877224579	0.6947038774	0.118044625	0.0450140048	0.0526315789	0.3968126411	0.5673300334	0.3589582651	0.1440402792
0.2050847825	0.7230923367	0.0238102907	0.0445783602	0.0804597701	0.4364914749	0.5953510666	0.3418959236	0.8528980204
0.2002310654	0.7822442818	0.1238952043	0.0530816812	0.1121495327	0.4982392903	0.5847974709	0.3724898797	0.8215986803
0.1278704435	0.6528188313	0.0288186064	0.0350695561	0.0251572327	0.4799741731	0.6651314994	0.2962962963	0.9728406838
0.1434236899	0.6848026622	0.0444523227	0.0411693719	0.0426829268	0.3249796507	0.6976298894	0.360944128	0.8791443959
0.1147414175	0.6284212052	0.0279068937	0.0408046754	0.0643564356	0.4062807994	0.6353404721	0.320309083	0.816626606
0.0296346113	0.7011717939	0.0445475011	0.0394491393	0.0364583333	0.4269814784	0.6608064805	0.3511180103	0.7947592411
0.0870040033	0.6382455089	0.0298052594	0.0397323084	0.045	0.3680899375	0.6868101166	0.3296378959	0.7062182035
0.0672165786	0.716313317	0.0215289084	0.0429464251	0.0192307692	0.4566534642	0.6179684579	0.3617050781	0.8241347653
0.0951828713	0.7698560801	0.0294920619	0.0564847771	0.046875	0.3573449272	0.630527034	0.4080592492	0.2318500245
0.1737892119	0.7315015874	0.0559149325	0.0377275105	0.04	0.5151854643	0.5681240799	0.3276441237	0.9384103295
0.1269916586	0.6602884299	0.0364193485	0.0428399422	0.0465116279	0.4189415225	0.6973725652	0.3777630481	0.8446350618
0.0514736264	0.6591874833	0.0342553045	0.0373625575	0.0397727273	0.4301181159	0.6651159971	0.3451987113	0.9256021892
0.0599384618	0.6399533929	0.0301430492	0.0366330786	0.0467836257	0.4652443022	0.6382274356	0.3760614153	0.94846274
0.0551551146	0.6376823008	0.0945845528	0.0419783563	0.0246305419	0.4373104007	0.6581028169	0.293323446	0.7946015814
0.0514784739	0.6498514271	0.0300973502	0.0347364591	0.0837988827	0.379855202	0.6388012115	0.3236302338	0.8423887152
0.1063128814	0.6840476186	0.0451079376	0.0415608486	0.0465116279	0.3903676868	0.6589655279	0.3777630481	0.6261915536
0.1277900396	0.6216093307	0.0835061188	0.0334329939	0.0408163265	0.3941588888	0.6901780171	0.4164197878	0.906329877
0.1765038562	0.7788599841	0.0756304492	0.0515901459	0.0879120879	0.2960586859	0.6880446739	0.421875	0.1617732019
0.0595487076	0.6523319477	0.0508973909	0.0362800079	0.0617977528	0.3315117856	0.7181684374	0.3660298683	0.9310756844
0.2477204455	0.6718869941	0.0243561689	0.0376393619	0.0757575758	0.4896631341	0.6089688865	0.3178183548	0.8535760956
0.1446006972	0.616340417	0.0570884884	0.0414207442	0.0289855072	0.4938005593	0.5637806512	0.3289699574	0.8229286863
0.0960189388	0.6296717778	0.0646984437	0.0431008397	0.0801886792	0.5122052855	0.5636066237	0.3604218856	0.7569083093
0.1417687154	0.6985320341	0.0240890274	0.0391427131	0.0348258706	0.4488843177	0.5699399289	0.3296378959	0.8441444318
0.1549780598	0.6901958546	0.0463658339	0.0413304263	0.0727272727	0.4971355167	0.5852368126	0.4025555533	0.7614202832
0.1831025524	0.6850743738	0.0273505304	0.0391851212	0.0330188679	0.508644294	0.5389905267	0.3221722431	0.8318436742
0.1319298014	0.6612636437	0.062924758	0.0428980565	0.0296610169	0.5092761053	0.571066547	0.3949552003	0.5575891504
0.1293975371	0.6753547853	0.0210125802	0.0379250955	0.0651162791	0.4928509554	0.5905513775	0.336648311	0.8384286142
0.2835959836	0.7578507044	0.0528061024	0.0529250053	0.0516431925	0.3471376342	0.6789873907	0.3550070077	0.051125366
0.1965876617	0.6761284546	0.0629820157	0.0449586256	0.0183486239	0.4589236935	0.5779122138	0.3527740317	0.7185463829
0.0711824537	0.6329876227	0.0722473236	0.0394807029	0.0613207547	0.3946269409	0.6990861247	0.3943703704	0.7960728784
0.2073695627	0.667418242	0.0167667409	0.0373625575	0.0395480226	0.5014355051	0.5483113531	0.392036824	0.8982809923
0.1050257819	0.6924275147	0.0442363606	0.0420771523	0.0246305419	0.3734776278	0.678006001	0.2962962963	0.865180715
0.0126103326	0.7090291156	0.0444423026	0.0403647476	0.0217391304	0.5265318862	0.6242496829	0.336648311	0.9211222221
0.0757604058	0.6699553901	0.0338027151	0.0331711615	0.0355029586	0.3851207442	0.6607077511	0.3902480655	0.9533159277
0.178685807	0.6791385699	0.0597272529	0.0348796045	0.0358974359	0.3428569252	0.7042875126	0.318274304	0.8556103153
0.0208269392	0.6039873239	0.040908678	0.0307414162	0.049689441	0.3184750108	0.7466229886	0.3662120936	0.918405237
0.1110174741	0.6916627847	0.0805477887	0.0383713525	0.0783410138	0.3294908608	0.6413833445	0.3710174402	0.6675704476
0.1327033446	0.6500038834	0.1131084101	0.0343155414	0.0514285714	0.3945655955	0.6367540739	0.317968222	0.9429062392
0.3178155675	0.7869550362	0.0816296629	0.0537115452	0.043715847	0.3056314587	0.6303916504	0.3398371102	0.2129347147
0.1605576459	0.7036216998	0.020733868	0.0425286578	0.064171123	0.3976100487	0.6517200271	0.3706256583	0.8703753875
0.0205919474	0.5994965617	0.0728757995	0.0318948661	0.0414507772	0.3259819846	0.73248585	0.3310591182	0.9122127568
0.2104445883	0.701224555	0.0193049876	0.0428399422	0.0670103093	0.4256742368	0.5640543529	0.3570941627	0.8061489648
0.1211691126	0.7415623073	0.0266768971	0.0435607994	0.065	0.4475794527	0.6396760515	0.3545825274	0.5236959766
0.1293689354	0.6665256064	0.0253911367	0.0464664414	0.0440528634	0.503045274	0.6647042974	0.3913053294	0.6234914823
0.1212469211	0.6968705994	0.0437801083	0.0421264634	0.0346534653	0.4053215736	0.6287093631	0.344912635	0.7154591957
0.1263580892	0.7089402021	0.0605915828	0.0379360423	0.0588235294	0.3175058273	0.7017539916	0.3140694727	0.6090448021
0.0954805183	0.7219967493	0.0167656747	0.0464127953	0.0571428571	0.4976436598	0.6202911572	0.3864568221	0.7964926943
0.0673895757	0.6527131264	0.0183272411	0.0371731531	0.0398230088	0.3195634062	0.7060927924	0.3542972487	0.4490759824
0.0978557007	0.6388455764	0.033100002	0.0324498255	0.0489130435	0.383226138	0.6470192537	0.2552362658	0.9402218239
0.0120590842	0.7026334716	0.0591637961	0.0411189131	0.0504201681	0.4135401418	0.6753215134	0.3972844254	0.5179992968
0.410280841	0.7378225867	0.1465934484	0.0492851037	0.0406091371	0.3741672478	0.5662324292	0.3400487734	0.4319331215
0.1333688575	0.6865216497	0.0622941393	0.0403647476	0.0682926829	0.3811630635	0.7006236712	0.2644756357	0.6846309154
0.0634134157	0.6915718581	0.0694117687	0.0411693719	0.0721153846	0.3123007769	0.7403857368	0.3963654949	0.5756673464
0.1836893923	0.7374481471	0.0180256286	0.0476836467	0.0570175439	0.4623282299	0.5663223852	0.3362856737	0.5271078006
0.1809724653	0.605395221	0.0460249249	0.0385441	0.0582524272	0.4289833991	0.5969914397	0.3630405285	0.6852029725
0.1970527123	0.7372500859	0.0319819761	0.0484352968	0.03125	0.4851455503	0.6384224082	0.3287102101	0.7111746306
0.1581705387	0.7425616732	0.0308180628	0.0499545415	0.0301507538	0.4641638515	0.6018848372	0.3644314869	0.7951118038
0.0141071354	0.7474776652	0.0567164999	0.0511049614	0.0815217391	0.4719271408	0.6857877974	0.3988688486	0.8255569236
0.059999149	0.7115421503	0.0280917238	0.0473954198	0.0307692308	0.4993724813	0.6166925684	0.3440009721	0.7706251968
0.0921044832	0.7123101813	0.0444106145	0.0486064468	0.0733944954	0.3816870849	0.7230105101	0.3880773458	0.7105242227
0.0333419976	0.7136138706	0.0256630244	0.0496544114	0.0666666667	0.4508354984	0.704125503	0.3495124859	0.6169924088
0.120552451	0.7142094443	0.0993456824	0.0432258954	0.0405405405	0.4502189523	0.6618065157	0.285587847	0.7338463383
0.0706203346	0.7456850113	0.0381104077	0.048529504	0.0398230088	0.4082373742	0.7196859168	0.3259949115	0.6534674974
0.034422119	0.6801583471	0.0383646853	0.0561530096	0.0480769231	0.4202189926	0.5928947939	0.4166880707	0.2043125021
