 Alabama	 Alaska	 Arizona	 Arkansas	 California	 Colorado	 Connecticut	 Delaware	 District of Columbia	 Florida	 Georgia	 Hawaii	 Idaho	 Illinois	 Indiana	 Iowa	 Kansas	 Kentucky	 Louisiana	 Maine	 Maryland	 Massachusetts	 Michigan	 Minnesota	 Mississippi	 Missouri	 Montana	 Nebraska	 Nevada	 New Hampshire	 New Jersey	 New Mexico	 New York	 North Carolina	 North Dakota	 Ohio	 Oklahoma	 Oregon	 Pennsylvania	 Rhode Island	 South Carolina	 South Dakota	 Tennessee	 Texas	 Utah	 Vermont	 Virginia	 Washington	 West Virginia	 Wisconsin	 Wyoming	 Puerto Rico	 Virgin Islands
0	0	0.008204742	0	0.081516021	0	0.5208242	0.042536736	0.391281233	0.041478439	0.019800682	0	0	0.058006456	0.010013061	0	0.003847211	0	0	0.246556474	0.111361397	0.28219588	0.072587962	0	0	0.054032766	0	0	0	0.178709056	0.296046662	0	0.267895003	0.026001457	0	0.013308573	0	0	0.117293835	0.421348315	0.021136063	0	0.013339312	0	0	0.187335092	0.05227427	0	0	0	0	0.029551259	0.335714286
0.004753981	0.043882979	0.024162589	0.019827586	0.095978873	0.011188205	0.485751863	0.090487239	0.418926103	0.058550895	0.027734068	0.056087551	0.010998553	0.076787636	0.020461471	0.017888199	0.024732069	0.01014275	0.022589416	0.224517906	0.146276221	0.287144666	0.123197903	0.00877193	0.012779553	0.077347196	0.001041667	0.019619865	0.003007108	0.166184971	0.301879456	0.015980959	0.282130237	0.041005098	0.004120879	0.046218921	0.020768025	0.003531399	0.136108887	0.424719101	0.039134742	0.004781829	0.024212532	0.008091744	0.003296414	0.180738786	0.061863544	0.008867556	0.006425234	0.018677971	0.004166667	0.050346589	0.407142857
0.022106014	0.076462766	0.033797516	0.047413793	0.111906579	0.021422376	0.534853135	0.121423047	0.451887294	0.074684658	0.046682402	0.08002736	0.02633864	0.127653331	0.052677405	0.038012422	0.052212146	0.046018032	0.051035348	0.240358127	0.183584401	0.300149614	0.157677185	0.019064327	0.048322684	0.111216131	0.023958333	0.040772532	0.014215418	0.173410405	0.341283215	0.036722203	0.312165573	0.057538237	0.012820513	0.097286702	0.039380878	0.026255182	0.174239392	0.460674157	0.065389696	0.02630006	0.04853716	0.018220571	0.012394515	0.175461741	0.082060421	0.02839245	0.060747664	0.038813088	0.029166667	0.064574973	0.457142857
0.069645828	0.125664894	0.037862251	0.067816092	0.117312096	0.024718127	0.523454625	0.13225058	0.429027113	0.064916398	0.046485707	0.083447332	0.042836469	0.150934168	0.066173269	0.085714286	0.084363836	0.057663411	0.079062958	0.275482094	0.201041813	0.298308206	0.176429076	0.046315789	0.077076677	0.140044108	0.053645833	0.074187615	0.022006561	0.165703276	0.330913804	0.059843591	0.315648662	0.065185725	0.034340659	0.137728258	0.052507837	0.051128512	0.196457166	0.466292135	0.087186262	0.053197848	0.067369129	0.028066469	0.022943038	0.146437995	0.088934148	0.04629027	0.092873832	0.081997616	0.063333333	0.052900401	0.428571429
0.095079629	0.177526596	0.042228077	0.094827586	0.13037199	0.033824805	0.574747918	0.170146945	0.452950558	0.068319155	0.059926567	0.104651163	0.05788712	0.20346278	0.109563198	0.12173913	0.104973894	0.093726521	0.118594436	0.350550964	0.220892581	0.328231097	0.234398629	0.083274854	0.107028754	0.18115942	0.083333333	0.105456775	0.032121378	0.192196532	0.361373947	0.08466508	0.363856638	0.07822287	0.058608059	0.20664397	0.071708464	0.073852295	0.231985588	0.526966292	0.115752972	0.096832038	0.087097859	0.04236377	0.029140295	0.166226913	0.112610319	0.068255776	0.20385514	0.120810703	0.1125	0.064210142	0.428571429
0.099358213	0.25731383	0.019646218	0.109770115	0.14219398	0.051344319	0.627794827	0.195668987	0.486443381	0.065972426	0.076514555	0.12380301	0.078147612	0.247970263	0.118270208	0.128695652	0.112118714	0.091472577	0.11922192	0.44214876	0.254540335	0.346069743	0.253957052	0.102222222	0.1014377	0.186830498	0.115104167	0.115879828	0.039775834	0.218689788	0.419701879	0.090105406	0.389146896	0.091041515	0.059981685	0.237490973	0.079741379	0.097190235	0.244195356	0.548314607	0.129293263	0.124925284	0.093711467	0.049965106	0.040479958	0.203166227	0.131788866	0.090709404	0.156542056	0.168101735	0.179166667	0.173294418	0.5
0.078202995	0.287898936	0	0.072126437	0.123666674	0.037814397	0.481367821	0.162412993	0.499734184	0.031240833	0.059926567	0.098495212	0.066280753	0.22586325	0.105935278	0.089689441	0.029678483	0.072877536	0.095377536	0.357438017	0.222863579	0.271953044	0.198104648	0.069707602	0.059504792	0.144454946	0.075	0.080931944	0.042509568	0.167630058	0.360596241	0.060523631	0.323119637	0.043699927	0.043040293	0.175590632	0.050744514	0.070627975	0.195456365	0.396629213	0.081571995	0.105200239	0.058625715	0.038855461	0.024920886	0.155672823	0.095807875	0.070289619	0.151869159	0.136309445	0.131666667	0.158336374	0.428571429
0.063703352	0.283909574	0.007602559	0.09454023	0.119086426	0.046400694	0.444541868	0.177880897	0.432216906	0.033382224	0.067597692	0.100547196	0.081910275	0.232808373	0.127993034	0.088695652	0.047540533	0.09391435	0.106463083	0.347796143	0.224975363	0.264932673	0.211009174	0.076725146	0.057108626	0.15910523	0.089583333	0.089822195	0.04907053	0.184489403	0.34426442	0.073444407	0.324734982	0.058630736	0.041208791	0.184463015	0.066026646	0.096576079	0.193855084	0.442696629	0.092800528	0.107591154	0.083286627	0.043721825	0.033623418	0.166226913	0.098014257	0.082574032	0.108060748	0.144389985	0.139166667	0.040131339	0.414285714
0.096981222	0.236037234	0.031990967	0.131321839	0.134766552	0.049609714	0.51775537	0.164733179	0.441786284	0.048430625	0.068384474	0.056771546	0.103328509	0.24317715	0.157306632	0.140124224	0.106347898	0.111570248	0.130307467	0.35261708	0.236801352	0.284267465	0.23822966	0.091695906	0.126198083	0.192186515	0.10625	0.104537094	0.052624385	0.208092486	0.304601426	0.089765386	0.328621908	0.076329206	0.054029304	0.221706386	0.097374608	0.099493321	0.225680544	0.517977528	0.114101717	0.10041841	0.097858984	0.052134221	0.050632911	0.19525066	0.110997963	0.101285389	0.136682243	0.165452378	0.1625	0.03137541	0.371428571
0.101497504	0.173537234	0.041174257	0.122413793	0.141946399	0.046834345	0.471722929	0.143851508	0.412014886	0.051598709	0.056386048	0.12995896	0.099565847	0.217450846	0.14003773	0.143354037	0.103050289	0.106686702	0.143275465	0.340909091	0.199774743	0.261364944	0.237826394	0.102690058	0.126597444	0.172337744	0.110416667	0.103004292	0.051804265	0.170038536	0.274141283	0.088065284	0.327460878	0.070575382	0.067765568	0.214587847	0.088557994	0.10302472	0.229383507	0.502247191	0.097754293	0.105797968	0.084071292	0.056566762	0.054061181	0.197889182	0.096232179	0.084851936	0.150700935	0.162538085	0.126666667	0.037577526	0.442857143
0.111005467	0.138297872	0.051561912	0.118390805	0.148094658	0.057675629	0.477422183	0.121423047	0.417331207	0.063420358	0.062680304	0.185362517	0.088567294	0.219798494	0.126541866	0.14931677	0.126133553	0.108001503	0.148922819	0.28030303	0.203998311	0.25457475	0.210303458	0.103391813	0.127795527	0.163673598	0.094791667	0.125689761	0.055221432	0.148362235	0.263771873	0.099285957	0.32730944	0.076911872	0.063644689	0.207056639	0.093456113	0.099186243	0.231184948	0.48988764	0.094286658	0.102211596	0.084071292	0.059943037	0.061972574	0.145118734	0.100475221	0.091278881	0.139602804	0.162538085	0.110833333	0.052900401	0.464285714
0.106964583	0.126994681	0.050357546	0.107183908	0.153025645	0.065481353	0.479614204	0.127610209	0.43328017	0.069844529	0.06313926	0.215458276	0.083068017	0.219700675	0.121027427	0.137639752	0.115141522	0.110067618	0.146412884	0.243801653	0.201323384	0.246863851	0.209396108	0.093684211	0.115814696	0.161153119	0.081770833	0.117719191	0.047703663	0.146917148	0.252235904	0.0850051	0.322665321	0.066642389	0.062271062	0.199112762	0.097178683	0.083678796	0.217073659	0.452808989	0.087516513	0.099222953	0.07824235	0.060320275	0.064609705	0.167546174	0.100050916	0.081841848	0.138434579	0.147171811	0.103333333	0.095220722	0.514285714
0.025909199	0.063164894	0.025969138	0.031609195	0.086694588	0.030529055	0.266988163	0.064191802	0.364167996	0.032032854	0.006556517	0.156634747	0.044283647	0.063679937	0.007400958	0.042732919	0	0.008827949	0.07278812	0.112947658	0.055751091	0.090919553	0.07682226	0.022923977	0.030351438	0	0.030208333	0.053954629	0.025833789	0.03371869	0.10602722	0.032641959	0.140787481	0.002913328	0.023809524	0.020736614	0.043299373	0.011976048	0.056945556	0.165168539	0.011228534	0.050806934	0	0.02767037	0.036260549	0.051451187	0.017566191	0.034982102	0.028621495	0.034441648	0.0475	0.001824152	0.442857143
0.026146898	0.097074468	0.037034249	0.062643678	0.09038767	0.036513443	0.206488382	0.021655066	0.378522063	0.038222353	0	0.167578659	0.052966715	0.056147902	0	0.04447205	0.020060456	0.015214125	0.089311859	0.069559229	0.06757708	0.080791806	0.068857748	0.01871345	0.020766773	0.014177694	0.03125	0.064377682	0.028977583	0.016377649	0.099287103	0.049982999	0.139424533	0	0.028846154	0.000619003	0.0625	0.02164901	0.061048839	0.128089888	0.01502642	0.05678422	0.005828943	0.035931871	0.042457806	0.036939314	0.007382892	0.042222584	0.028037383	0.040667638	0.049166667	0.01058008	0.464285714
0.05395769	0.114361702	0.044260444	0.090517241	0.097092987	0.044319167	0.247698378	0.092034029	0.391281233	0.04775594	0.010359297	0.178522572	0.061649783	0.091851707	0.013640981	0.073043478	0.05715856	0.033996995	0.112110437	0.057162534	0.088694918	0.089308321	0.072688779	0.029005848	0.038738019	0.051827347	0.042708333	0.084917229	0.034991799	0.014932563	0.124303305	0.059843591	0.155325593	0.005753824	0.036172161	0.036314866	0.082876176	0.032243206	0.084967974	0.130337079	0.036822985	0.072325164	0.024660912	0.044551748	0.050369198	0.027704485	0.020960625	0.059957696	0.05432243	0.058815737	0.071666667	0.006566946	0.478571429
0.072498217	0.150930851	0.039894618	0.104885057	0.098599105	0.045446661	0.262604121	0.049497293	0.373737374	0.036403637	0.009900341	0.149110807	0.074095514	0.125110046	0.059933246	0.122236025	0.098378675	0.071750563	0.138046434	0.091597796	0.0927777	0.095638163	0.086299022	0.054736842	0.064696486	0.072463768	0.067708333	0.100245248	0.040322581	0.010597303	0.13661698	0.071064264	0.159717314	0.015513474	0.052655678	0.058392654	0.097570533	0.04314448	0.111989592	0.13258427	0.034676354	0.10041841	0.036767179	0.047116962	0.052478903	0	0.027749491	0.072811585	0.07885514	0.090872963	0.09	0.011674571	0.478571429
0.092702638	0.210771277	0.039894618	0.12183908	0.103199983	0.047701648	0.288908374	0.127610209	0.39553429	0.036755647	0.023406766	0.164158687	0.091172214	0.161792038	0.100565956	0.160745342	0.107996702	0.101803156	0.169002301	0.16046832	0.117274391	0.119576476	0.146184091	0.094385965	0.075878594	0.103654694	0.102604167	0.121704476	0.04948059	0.044315992	0.164095917	0.090445427	0.187834427	0.030444283	0.071428571	0.114102961	0.112460815	0.061108552	0.134907926	0.188764045	0.057298547	0.140466228	0.06008295	0.057170342	0.060785865	0.011873351	0.047012899	0.097054995	0.127920561	0.128361372	0.158333333	0.022254652	0.485714286
0.090563347	0.263962766	0.021979676	0.135632184	0.1099053	0.067215958	0.330118369	0.154679041	0.427963849	0.029774127	0.037241018	0.177154583	0.112011577	0.178812482	0.09534175	0.169440994	0.105798296	0.096919609	0.170257268	0.241046832	0.140926369	0.143054437	0.154955137	0.112865497	0.088658147	0.108695652	0.1359375	0.131820969	0.053307818	0.073217726	0.211665587	0.083645019	0.213982837	0.039548434	0.077380952	0.135355411	0.107758621	0.083218179	0.147117694	0.191011236	0.057628798	0.169157203	0.064566753	0.062734595	0.069883966	0.044854881	0.066191446	0.108200456	0.132593458	0.170353689	0.220833333	0.117475374	0.514285714
